id,title,author,text,label
16,Wells Fargo Chief Abruptly Steps Down - The New York Times,Michael Corkery and Stacy Cowley,"The scandal engulfing Wells Fargo toppled its chairman and chief executive on Wednesday, as John G. Stumpf announced his departure from the company, effective immediately. The move was a swift and stunning fall for an executive whose bank made it through the 2008 financial crisis relatively unscathed, only to be undone by a   sales scandal that pervaded its community banking division and percolated under the surface for years. It was an extraordinary moment even in the banking industry, which has been bedeviled by criticism and regular scandals since the financial crisis. Despite the industrys many troubles, relatively few banking chiefs have stepped down under outside pressure. But Wells Fargos transgressions were unusually blatant and straightforward, which contributed to the   public outcry. This time, there were no exotic financial instruments, complicated trades or complex mortgage trickery. The banks misdeeds were fundamentally simple: Under intense pressure to meet aggressive sales goals, employe...",0
17,Anonymous Donor Pays $2.5 Million To Release Everyone Arrested At The Dakota Access Pipeline,Starkman,"A Caddo Nation tribal leader has just been freed after spending two days behind bars in North Dakota. Family members say she was simply an innocent bystander in a clash between police and protesters, and was not guilty of anything the police claimed. 
Via AlternativeNews 

Jessi Mitchell, of local News 9 reports that family members of Caddo Nation chairwoman Tamara Francis-Fourkiller said an anonymous donor paid $2.5 million late Saturday afternoon to release everyone arrested on Thursday at the Dakota Access Pipeline site.
They added, however, that Francis-Fourkiller was never supposed to have been arrested in the first place. An expert on sacred burial grounds , Francis-Fourkiller was one of the tribal leaders visiting the Sioux of Standing Rock to advise them during negotiations with the Dakota Access Pipeline construction team, Mitchell continues. Remains were being desecrated in this pipeline, so they had asked a bunch of people to come up there, so theres a big conference, Francis-Fourkillers...",1
18,FBI Closes In On Hillary!,The Doc,"FBI Closes In On Hillary! Posted on Home » Headlines » World News » FBI Closes In On Hillary! 
We now have 5 separate FBI cases probing the Hillary-Bill Clinton inner circle. Here is the background on those 5 cases and all of the major players that we are going to cover: 

FIVE INVESTIGATIONS UNDERGOING BY THE FBI ON CLINTON, THE CLINTON FOUNDATION AND INNER CIRCLE/TRUMP SURPASSES CLINTON IN THE POLLS/DEUTSCHE BANK STOCK PLUMMETS AGAIN/DBS CHIEF ECONOMIST BLASTS THE ECB AGAIN: THEY MUST BE HURTING!/569,000 OZ ADDED TO THE SLV/2.67 TONNES ADDED TO THE GLD 
Gold closed at $1306.40 up $20.40 
silver closed at $18.66 or up 47 cents. 
Access market prices: THE DAILY GOLD FIX REPORT FROM SHANGHAI AND LONDON 
. 
The Shanghai fix is at 10:15 pm est and 2:15 am est 
The fix for London is at 5:30 am est (first fix) and 10 am est (second fix) 
Thus Shanghais second fix corresponds to 195 minutes before Londons first fix. 
And now the fix recordings: 
Shanghai morning fix Nov 2 ( 10:15 pm est last night): $ 1294.53...",1
19,Chuck Todd: BuzzFeed Did Donald Trump a Political Favor - Breitbart,Jeff Poor,"Wednesday after   Donald Trumps press conference at Trump Tower in New York City, NBC Meet the Press moderator Chuck Todd expressed his exasperation over the normalcy of what he called a circus surrounding Trumps event.  I was struck big picture wise which is of how normal a circus is now to us, Todd said. This was a circus. Weve never seen a   a transition like we saw today where the press conference gets interrupted, you have a lawyer in here. The lawyer does half legal talk, half political spin. Ive never seen that, using the lawyer to say hes here to make America great again, and by the way Im going to play constitutional lawyer. I dont think this but clearly a constitutional lawyer told us we better not accept any of this money. So they made that exception. So I am struck at how normal crazy looked to us today. This was just a crazy scene, but this is the norm of Donald Trump. And in fact, this is where hes most comfortable. And I will say this. just as a political show. if youre Donal...",0
20,News: Hope For The GOP: A Nude Paul Ryan Has Just Emerged From An Ayahuasca Tent With Visions Of A New Republican Party,nan,"Email 
Since Donald Trump entered the election over a year ago, he has single-handedly destroyed the GOP, leaving both the House and the Senate in utter disarray. But although many political strategists believe permanent damage has been done, conservatives shouldnt lose hope yet, because Speaker of the House Paul Ryan has just emerged fully nude from an ayahuasca tent with visions of a new Republican Party. 
A fresh GOP platform requires fresh leadership, and when Speaker Ryan journeyed to South America last week to embark on an immersive psychedelic vision quest of political rebirth, he just proved hes the only one for the job. 
After traveling to Peru and entering a makeshift tent with nothing but a towel, 200 mg of DMT, and a bucket to vomit in, Paul Ryan (R-Wis.) spent the last 12 hours lying nude on the jungle floor, enduring bursts of vivid consciousness in which he watched the secrets of a unified, more moderate GOP unfold before his very eyes. 
While under the influence of the powerful psychedeli...",1
21,"Monica Lewinsky, Clinton Sex Scandal Set for American Crime Story",Jerome Hudson,"Screenwriter Ryan Murphy, who has produced the   FX series American Crime Story, is set to bring the Monica   Clinton White House sex saga to TV. [According to the Hollywood Reporter, the Ryan Murphy Productions chief has optioned author and CNN legal analyst Jeffrey Tobins 2000 book A Vast Conspiracy: The Real Sex Scandal That Nearly Brought Down a President.  The New York Times bestseller, acquired by Fox 21 Television Studios and FX Productions, will become the basis for a future American Crime Story season. In February, Murphy told E! News that the series would explore the Lewinsky sex scandal as   plot to tear down President Bill Clinton, and on the other women who were ensnared in the 1996 sex scandal, involving   House intern Monica Lewinsky, and the events that led to Clintons impeachment. Its not really about Hillary Clinton. That book is about the rise of a certain segment of a   group of people who despised the Clintons and used three women, Paula Jones, Monica Lewinsky and Linda Tripp...",0
22,Rob Reiner: Trump Is Mentally Unstable - Breitbart,Pam Key,"Sunday on MSNBCs AM Joy, actor and director Rob Reiner accused President Donald Trump of being mentally unstable.   Reiner said, Its scary, its scary, because if you look at the capacity that cyber warfare has, and if you know about Stuxnet, which some people do and dont know about that, they were able to weaponize, you know, a cyber warfare and actually go in and blow up centrifuges in Iran.  Thats what scares me. We dont have, anybody at the helm of our country right now. He is     you know, I hate to say it, we dont want to use the word mentally ill, but he is mentally unstable, this man, and so who is going to take charge here when the next attack.  If the first attack, which was going into our elections, which we know happened, if it had been that a bomb blew up in New York, everybody would be going crazy, he continued. Thats what happened. He blew up something. And now he could blow more stuff up. So we have to be     you know, weve got to make sure that our country is stable. And ...",0
23,Massachusetts Cops Wife Busted for Pinning Fake Home-Invasion Robbery on Black Lives Matter,nan,"Massachusetts Cops Wife Busted for Pinning Fake Home-Invasion Robbery on Black Lives Matter   Source: PINAC 
The wife of a Massachusetts cop is facing charges for filing a false police report after she concocted a story about thieves ransacking her home, stealing $10,000 in jewelry and then spray-painting her house with Black Lives Matter to pin it on black people. 
Maria Daly, wife of Millbury K-9 cop Daniel Daly, took to social media about her dreamt-up victimization after she filed a police report on October 17. 
We woke up to not only our house being robbed while we were sleeping, but to see this hatred for no reason, she posted, according to the Boston Herald. 
 If you would of [sic] asked me yesterday about this blue lives and black lives matter issue my response would of [sic] been very positive [sic], the now private Facebook account alleged. Today on the other hand I have so much anger and hate that I dont like myself. This is what we have to deal with these days and it makes me sick that t...",1
24,Abortion Pill Orders Rise in 7 Latin American Nations on Zika Alert - The New York Times,Donald G. McNeil Jr. and Pam Belluck,"Orders for abortion pills by women in seven Latin American countries with Zika outbreaks increased after health officials in those countries warned that the virus might cause severe birth defects, according to a womens organization supplying such pills. Orders from women in Brazil, Ecuador and Venezuela roughly doubled, while those from Colombia, Costa Rica, El Salvador and Honduras went up by from 36 percent to 76 percent, researchers said in a study published Wednesday by The New England Journal of Medicine. The authors of the study included a leader of the group based in Amsterdam that is supplying the pills, Women on Web, a nonprofit staffed by doctors helping women from countries where abortion is illegal or restricted to terminate unwanted pregnancies. Even with the increase in demand for abortion pills, the number of orders received by Women on Web from Latin America and the Caribbean in that time period was small: slightly more than 2, 300 in the region, with about 1, 600 of those in countries whe...",0
25,Nukes and the UN: a Historic Treaty to Ban Nuclear Weapons,Ira Helfand,"Email 
In an historic move the United Nations First Committee voted Thursday to convene a conference next March to negotiate a new treaty to ban the possession of nuclear weapons. The vote is a huge step forward in the campaign to rid the world of nuclear weapons launched several years ago by nonnuclear weapons states and civil society from across the globe. 
Dismayed by the failure of the nuclear weapons states to honor their obligation under Article VI of the Non Proliferation Treaty which requires them to pursue good faith negotiations for the elimination of their nuclear arsenals, and moved by the growing danger of nuclear war, more than 120 nations gathered in Oslo in March of 2013 to review the latest scientific data about the catastrophic consequences that will result from the use of nuclear weapons. The conference shifted the focus of international discussion about nuclear war from abstract consideration of nuclear strategy to an evaluation of the medical data about what will actually happen if the...",1
26,EXCLUSIVE: Islamic State Supporters Vow to Shake the West Following Manchester Terrorist Massacre - Breitbart,Aaron Klein and Ali Waked,"JERUSALEM     Islamic State sympathizers and militants celebrated last nights deadly terrorist massacre at a crowded concert in Manchester, England, with the jihadists vowing to continue the onslaught against the West. [The Islamic State claimed that a soldier of the caliphate planted bombs in the middle of Crusaders gatherings, apparently taking credit for the carnage.  Breitbart Jerusalem obtained access to correspondence posted in a closed chat group that utilizes the encrypted Telegram messaging service. The chat group serves as an internal Twitter of sorts for IS jihadists and sympathizers, and it has been used in the past to issue IS communications. A militant named Abu Ayman Alalmani (the German) wrote, Thanks to Allah who allowed this achievement of the Mujahedeen. We are all believers in Allah that our brothers, the supporters and the Mujahedeen, are those who committed the attack among the infidels. We swear to Allah that the infidel countries in the West wont have the luxury of security. T...",0
27,Humiliated Hillary Tries To Hide What Camera Caught 15 Mins Before Rally,Amanda Shea,"Humiliated Hillary Tries To Hide What Camera Caught 15 Mins Before Rally Posted on October 27, 2016 by Amanda Shea in Politics Share This Hillary Clinton outside rally (left), Fox News catching incident on live feed (right) 
Both presidential candidates stopped in the battleground state of Florida this week to campaign for votes to crowds at separate locations. However, things didnt go so well for Hillary Clinton, who was humiliated when a camera caught what she immediately tried to hide to save her campaign  which backfired big time. 
While Donald Trumps 15,000-person army of Deplorables were holding down the fort in Stanford, Florida as they listened to this great leader explain how he plans to make America great again, Hillary was at a much smaller venue at Palm Beach State College. Although she was feeling pretty good about herself with having a higher turnout than shes used to, the approximate 1,000 to 2,000 attendees paled in comparison to what Trump was looking at in the same state. However, H...",1
28,Andrea Tantaros of Fox News Claims Retaliation for Sex Harassment Complaints - The New York Times,Jim Dwyer,"Andrea Tantaros, a former Fox News host, charged in a lawsuit filed Monday that top executives at the network, including the man who replaced Roger Ailes, punished her for complaining about sexual harassment by Mr. Ailes. The suit by Ms. Tantaros, filed in New York State Supreme Court in Manhattan, is the latest round in a contentious volley that began in late winter, when Fox claimed she had breached her employment contract by writing a book without receiving network approval. Fox News masquerades as a defender of traditional family values, but behind the scenes, it operates like a   Playboy   cult, steeped in intimidation, indecency and misogyny, Ms. Tantaross suit says. Fox News said it would not comment on pending litigation. Mr. Ailes, the networks founding chairman and guiding force for two decades, resigned last month after a former anchor, Gretchen Carlson, said in a suit that she was fired for refusing his sexual advances. Mr. Ailes has denied all allegations of harassment. In April, the chief...",0
29,How Hillary Clinton Became a Hawk - The New York Times,Mark Landler,"Hillary Clinton sat in the hideaway study off her ceremonial office in the State Department, sipping tea and taking stock of her first year on the job. The study was more like a den     cozy and   lined with bookshelves that displayed mementos from Clintons three decades in the public eye: a statue of her heroine, Eleanor Roosevelt a baseball signed by the Chicago Cubs star Ernie Banks a carved wooden figure of a pregnant African woman. The intimate setting lent itself to a   interview than the usual locale, her imposing outer office, with its marble fireplace, heavy drapes, crystal chandelier and ornate wall sconces. On the morning of Feb. 26, 2010, however, Clinton was talking about something more sensitive than mere foreign affairs: her relationship with Barack Obama. To say she chose her words carefully doesnt do justice to the delicacy of the exercise. She was like a   technician, deciding which color wire to snip without blowing up her relationship with the White House. Weve developed, I think, ...",0
30,Chuck Todd to BuzzFeed EIC: You Just Published Fake News - Breitbart,Ian Hanchett,"During a discussion of BuzzFeeds story on a dossier regarding Russia and   Donald Trump on Wednesdays broadcast of MSNBCs MTP Daily, host Chuck Todd told BuzzFeed    Ben Smith you just published fake news.   Todd said BuzzFeeds decision to publish the dossier was an instance where they would not have made the same decision in the   era.  Smith stated that it was more the   era.  And that there was a time where we could act as gatekeepers. Where we could say, you know what, crazy people are claiming that Barack Obamas birth certificate is forged, but were not going to write about that, thats crazy.  He continued that this era doesnt exist, and that while they had reporters trying to confirm or deny specific details, the dossier was in play, and having consequences for the way our elected leaders are acting. The     you do have to ask the question of, why should I suppress that? There are then good reasons, right? Once though, it emerges, as it did last night in the public conversation ...",0
31,Israel is Becoming Pivotal to Chinas Mid-Eastern Calculus http://journal-neo.org/2016/11/07/israel-is-becoming-pivotal-to-china-s-mid-eastern-calculus/,nan,"Country: Israel While China is silently playing an important role in the mitigation of the conflict in the Middle East, which is an important market for the Chinese goods, continuously deteriorating security situation, marred by the presence of numerous jihadi groups in the region, the necessity for China to have a strong anchor in the region has become all the more evident today than it was few years ago. The so-called Arab spring has brought many changes in its wake. However, war being one of the most important outcomes of this spring, certain changes in the erstwhile foreign policy orientation of many countries, big and small alike, was expected. To this particular outcome owes the growth of China-Israel relations that continue to develop stronger and deeper every year. Facts speak for themselves: Chinas total capital investment in Israeli high-tech deals involving Chinese businesses is expected to reach around $500 million by the end of 2016, compared to $467 million in 2014 and $118 million in 20...",1
32,"Having Won, Boris Johnson and Brexit Leaders Fumble - The New York Times",Steven Erlanger,"LONDON     With their giddy celebrations of independence day having given way to political and economic turmoil, one thing has become especially clear about the former London mayor Boris Johnson and other leaders of the successful campaign to vote Britain out of the European Union: They had no plan for what comes next. In the days since Britain voted to leave the bloc, the movements leaders have often appeared as if they had not expected to win and were not prepared to cope with the consequences. Faced with the scope of the decision, they have been busy walking back promises they made during the campaign and scaling back expectations. They have failed to show a united front or to answer basic questions. Their faltering performance has added to the sense of political chaos in Britain and, arguably, to the turmoil in the financial markets. And it has undercut their credibility and authority as Mr. Johnson prepares his bid to become prime minister and lead Britain into a new relationship with the Continen...",0
33,"Texas Oil Fields Rebound From Price Lull, but Jobs Are Left Behind - The New York Times",Clifford Krauss,"MIDLAND, Tex.     In the land where oil jobs were once a guaranteed road to security for   workers, Eustasio Velazquezs career has been upended by technology. For 10 years, he laid cables for service companies doing seismic testing in the search for the next big gusher. Then, powerful computer hardware and software replaced cables with wireless data collection, and he lost his job. He found new work connecting pipes on rigs, but lost that job, too, when plunging oil prices in 2015 forced the driller he worked for to replace rig hands with cheaper, more reliable automated tools. I dont see a future, Mr. Velazquez, 44, said on a recent afternoon as he stooped over his shopping cart at a local grocery store. Pretty soon every rig will have one worker and a robot.  Oil and gas workers have traditionally had some of the     jobs     just the type that President Trump has vowed to preserve and bring back. But the West Texas oil fields, where activity is gearing back up as prices rebound, illustrate how d...",0
34,"Bayer Deal for Monsanto Follows Agribusiness Trend, Raising Worries for Farmers - The New York Times","Leslie Picker, Danny Hakim and Michael J. de la Merced","Don Halcomb, a    farmer in Adairville, Ky. is expecting his profit to vanish this year, largely because of the confluence of falling crop prices and rising costs for seeds and other materials. The price of an   bag of seed corn rose to $300 from $80 in the last decade, as the companies that produced them consolidated, he said. And with the recent decline in commodity prices, Mr. Halcomb said he expects to lose $100 an acre this year. Were producing our crops at a loss now, just like the oil guys are pumping oil at a loss, Mr. Halcomb, who grows corn, soybeans, wheat and barley on his   family farm, said by telephone on Wednesday. You cant cut your costs fast enough.  It is a common plight of farmers across the United States, with the global agriculture industry in a wrenching downturn. Because farmers have produced too much corn, wheat and soybeans, they have been forced to slash prices to sell their crops. They have also reduced spending on seeds, pesticides and fertilizer, which has eaten into sal...",0
